Homepage Folder,Source Page,Broken Link,Error,Status Code,Context
Sonatype Developer,https://help.sonatype.com/en/bundle-development.html,https://github.com/sonatype/nexus-public/tree/master/assemblies/,HTTP 404,404,...ion of Nexus Repository. These definitions are found in the assemblies module. The supported distributions are defined in the modu...
Sonatype IQ Server,https://help.sonatype.com/en/iq-2020-release-notes.html,https://support.sonatype.com/hc/en-us/articles/1500000415082-CVE-2020-29436-Nexus-Repository-Manager-3-XML-External-Entities-injection-2020-12-15,HTTP 404,404,See the CVE-2020-29436 advisory for details.
Sonatype IQ Server,https://help.sonatype.com/en/download-and-compatibility.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.17.1-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.17.1-01.zip ( ASC , SHA1 )"
Sonatype IQ Server,https://help.sonatype.com/en/iq-2023-release-notes.html,https://plugins.jenkins.io/nexus-jenkins-plugin/,HTTP 404,404,...is actively working to resolve a distribution issue for the nexus-jenkins-plugin . This is a temporary distribution issue and could affect a...
Sonatype IQ Server,https://help.sonatype.com/en/iq-2023-release-notes.html,urn:resource:component:140135,Invalid URN link in HTML (not a valid web URL),0,...We have added methods to the ??? . Users can retrieve repository configurations using the ne...
Sonatype IQ Server,https://help.sonatype.com/en/webhooks-concepts--iq-server-and-slack-integration.html,http://slackapi.github.io/node-slack-sdk/,HTTP 404,404,"...Looking at Slack for more information, we found the Slack Developer Kit for Node.js . This kit is great because they have something that makes ..."
Sonatype IQ Server,https://help.sonatype.com/en/iq-for-idea.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.17.1-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.17.1-01.zip ( ASC , SHA1 )"
Sonatype Integrations,https://help.sonatype.com/en/notable-integrations-changes.html,urn:resource:component:252381,Invalid URN link in HTML (not a valid web URL),0,"For full details, see the Sonatype Platform Plugin for Jenkins help documentation ."
Sonatype Lifecycle,https://help.sonatype.com/en/pull-request-commenting.html,https://support.sonatype.com/hc/en-us/articles/5932871948691-Remediation-recommendations-don-t-load-consistently,HTTP 404,404,"If you experience challenges with seeing Transitive Solver recommendations, please refer to this Knowledgebase article ."
Sonatype Nexus Repository,https://help.sonatype.com/en/verify-and-repair-data-consistency-tasks.html,urn:resource:element:548829/section-id235438482071306,Invalid URN link in HTML (not a valid web URL),0,See Accessing Reconciliation Reports section for how to retrieve missing binary details via REST API.
Sonatype Nexus Repository,https://help.sonatype.com/en/nexus-repository-3-36-0-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4409326330003,HTTP 404,404,This release includes a security fix for a server side request forgery vulnerability. See CVE-2021-43293 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/nexus-repository-3-36-0-release-notes.html,https://support.sonatype.com/hc/en-us/articles/4408801690515,HTTP 404,404,This release includes a security fix for an incorrect access control. See the CVE-2021-42568 for full details.
Sonatype Nexus Repository,https://help.sonatype.com/en/nexus-repository-3-35-0-release-notes.html,urn:resource:component:116739,Invalid URN link in HTML (not a valid web URL),0,"...'re new to repository replication, be sure to check out our Repository Replication help documentation ...."
Sonatype Nexus Repository,https://help.sonatype.com/en/configurable-repository-fields.html,urn:resource:component:116758/id_SSLandRepositoryConnectorConfiguration-SupportforDockerRegistryAPI,Invalid URN link in HTML (not a valid web URL),0,See Support for Docker Registry API
